"country","broadband","mobile"
"Monaco","261.8200",""
"Singapore","255.8300","105.0100"
"Hong Kong","254.7000","83.5800"
"Romania","232.1700","59.6700"
"Switzerland","229.9600","135.7000"
"Denmark","227.9100","112.0300"
"Thailand","225.1700","56.9000"
"Chile","217.6000","21.2300"
"France","214.0400","86.5100"
"South Korea","212.5700","202.6100"
"Hungary","210.5500","60.1600"
"Liechtenstein","204.7800",""
"United States","203.8100","110.0700"
"Spain","201.4700","61.6200"
"China","196.5700","165.3800"
"United Arab Emirates","189.0700","238.0600"
"Canada","183.8100","95.7800"
"Macau","178.9000","62.3100"
"Japan","178.7600","69.0200"
"Sweden","174.9000","103.0800"
"Luxembourg","172.0500","116.7600"
"Andorra","171.4400",""
"New Zealand","170.5100","75.9100"
"Norway","168.2500","177.7200"
"Netherlands","165","106.9800"
"Israel","162.6600","48.3000"
"Portugal","162.5500","59.9100"
"Poland","156.3300","57.2300"
"Moldova","154.5600","42.9900"
"Taiwan","152.0100","95.5100"
"Kuwait","149.3700","157.1800"
"Lithuania","147.0500","66.2500"
"Malta","144.0600","70.7300"
"Panama","137.3800","20.4400"
"Germany","136.6600","83.0600"
"Latvia","135.2200","50.0700"
"Finland","135.0500","88.2300"
"Belgium","125.1200","69.7600"
"Ireland","122.5500","62.6600"
"San Marino","121.4000",""
"Slovenia","115.6100","74.8400"
"Slovakia","115.1100","56.0100"
"Qatar","113.8800","172.1800"
"Brazil","113.0900","33.9200"
"Barbados","109.4100",""
"Malaysia","107.5500","31.3400"
"Italy","104.0900","55.4100"
"United Kingdom","102.2400","86.5600"
"Russia","95.9600","28.9900"
"Saudi Arabia","94.6400","155.9700"
"Austria","94.3100","71.8100"
"Estonia","88.4900","75.2900"
"Serbia","86.7700","53.8200"
"Bulgaria","86.7500","142.2700"
"Trinidad and Tobago","85.8000","41.1200"
"Jordan","84.1200","27.6100"
"Australia","82.7300","135.3000"
"Vietnam","78.3400","43.3200"
"Ukraine","76.8200","31.9500"
"Bahrain","73.9500","86.0400"
"Paraguay","72.5000","20.6500"
"Colombia","72.1900","18.3300"
"Philippines","71.8500","35.0300"
"Uruguay","69.9100","38.0800"
"Belarus","69.4100","19.4100"
"Croatia","69.0900","114.7600"
"Oman","68.2800","91.2100"
"Guyana","65.9300",""
"India","64.0300","17.8900"
"Kazakhstan","63.2800","31.7400"
"Bahamas","61.7500",""
"Montenegro","60.0300","44.4800"
"Argentina","58.8700","29.7700"
"Peru","58.7300","24.8200"
"Grenada","57.0700",""
"Costa Rica","56.3900","34.0100"
"Cyprus","55.1100","144.6400"
"Mexico","54.8800","34.3300"
"South Africa","54.7500","52.1900"
"Saint Vincent and the Grenadines","53.7700",""
"Mongolia","53.5300","21.3400"
"Saint Lucia","52.3000",""
"Ghana","52.1000","12.9000"
"Kyrgyzstan","51.0700","24.7100"
"Bosnia and Herzegovina","48.5100","36.6100"
"Laos","48.1600","30.9300"
"Uzbekistan","45.8800","19.2900"
"Albania","45.5500","61.5600"
"Turkey","43.4800","48.8500"
"North Macedonia","43.2400","64.0200"
"Madagascar","42.8400",""
"Ivory Coast","40.6400","18.3600"
"Belize","40.6200",""
"Bangladesh","40.3100","13.4300"
"Egypt","39.9700","24.9500"
"Mauritius","39.8500","30.2800"
"Greece","39.0800","92.5400"
"Ecuador","39.0700","24.6200"
"Armenia","38.9500","34.5300"
"Jamaica","37.8400","44.2300"
"Tajikistan","35.4500","16.1500"
"Saint Kitts and Nevis","35.4500",""
"Senegal","35.0100","23.5900"
"Dominica","34.9000",""
"Brunei","34.5900","67.3200"
"Nepal","33.8700","22.3900"
"Dominican Republic","32.2600","31.4500"
"Iraq","31.6600","42.3300"
"Marshall Islands","31.6400",""
"Nicaragua","29.9400","26.5900"
"Palestine","29.4600","7.5700"
"Georgia","28.6100","39.8400"
"Cambodia","28.3200","23.7500"
"Indonesia","27.8300","23.1200"
"Bolivia","27.8000","22.5700"
"Maldives","27.4200","66.9000"
"Morocco","27.2100","39.5200"
"El Salvador","27.0400","26.8500"
"Cape Verde","26.9400",""
"Honduras","26.9300","30.8400"
"Rwanda","26.2600",""
"Sri Lanka","26.0800","16.5800"
"Liberia","25.6800",""
"Burkina Faso","25.5400",""
"Azerbaijan","25.1000","40.6900"
"Seychelles","24.9000",""
"Bhutan","24.7600",""
"Lesotho","24.6400",""
"Venezuela","23.9200","7.6800"
"Guatemala","23.7200","29.6900"
"Western Sahara","23.0200",""
"Micronesia","22.5400",""
"Gabon","22.5000",""
"Iran","21.3600","35.4800"
"Antigua and Barbuda","21.2400",""
"Mali","20.8200","29.7900"
"Togo","20.7600","36.0800"
"Fiji","20.7600","28.5100"
"Myanmar","20.6900","28.1900"
"Haiti","20.6700","19.7100"
"Tanzania","19.7700","13.2300"
"Namibia","19.5800","23.1800"
"Kenya","19.3500","22.1400"
"Somalia","18.9800","14.7400"
"Djibouti","18.2700",""
"Lebanon","18.2200","32.6400"
"Zimbabwe","17.8100",""
"Nigeria","17.6500","24.7400"
"Zambia","17.2400","18.9800"
"Benin","16.2300",""
"Vanuatu","16.1800",""
"Libya","16.1200","16.0300"
"Suriname","15.9300","42.9700"
"Angola","14.8600","25.8700"
"Ethiopia","14.1700","26.1700"
"Cameroon","13.9400","31.1800"
"Pakistan","13.8400","19.8200"
"Papua New Guinea","13.6800",""
"Sierra Leone","13.5600",""
"Uganda","13.5500","19.0200"
"Syria","12.7200","19.2100"
"Malawi","12.7000",""
"Gambia","12.2400",""
"Niger","11.6800",""
"Mauritania","11.5500","19.9600"
"Botswana","11.2100",""
"Burundi","11.1800",""
"Tunisia","11.1300","35.5700"
"Algeria","10.4300","18.1000"
"Mozambique","9.2700","25.0200"
"Guinea","8.8400",""
"Afghanistan","8.2600","7.2700"
"Equatorial Guinea","7.9500",""
"Sudan","7.9200","14.5100"
"Yemen","7.5900",""
"Turkmenistan","4.1100",""
"Cuba","4.0100","25.0200"